cif name= ./4336587.cif
./4336587.cif
Full Formula (K24 Fe48 F152)
Reduced Formula: K3Fe6F19
abc   :   7.697500  18.284300  22.060300
angles:  90.000000  90.000000  90.000000
Sites (224)
  #  SP          a        b         c
---  ----  -------  -------  --------
  0  K     0        0.36425  0.75
  1  K     0.5      0.13575  0.25
  2  K     0.5      0.35692  0.75
  3  K     0        0.14308  0.25
  4  K     0        0.09784  0.55023
  5  K     0.5      0.40216  0.05023
  6  K     0.5      0.40216  0.44977
  7  K     0        0.09784  0.94977
  8  K     0.5      0.08485  0.5644
  9  K     0        0.41515  0.0644
 10  K     0        0.41515  0.4356
 11  K     0.5      0.08485  0.9356
 12  K     0.5      0.86425  0.75
 13  K     0        0.63575  0.25
 14  K     0        0.85692  0.75
 15  K     0.5      0.64308  0.25
 16  K     0.5      0.59784  0.55023
 17  K     0        0.90216  0.05023
 18  K     0        0.90216  0.44977
 19  K     0.5      0.59784  0.94977
 20  K     0        0.58485  0.5644
 21  K     0.5      0.91515  0.0644
 22  K     0.5      0.91515  0.4356
 23  K     0        0.58485  0.9356
 24  Fe    0.25     0.25     0.5
 25  Fe    0.25     0.25     0
 26  Fe    0.75     0.25     0.5
 27  Fe    0.75     0.25     0
 28  Fe    0.74964  0.03677  0.75
 29  Fe    0.75036  0.46323  0.25
 30  Fe    0.24964  0.46323  0.25
 31  Fe    0.25036  0.03677  0.75
 32  Fe    0.25     0.21219  0.665236
 33  Fe    0.25     0.28781  0.165236
 34  Fe    0.75     0.28781  0.334764
 35  Fe    0.75     0.21219  0.834764
 36  Fe    0.25     0.28781  0.334764
 37  Fe    0.25     0.21219  0.834764
 38  Fe    0.75     0.21219  0.665236
 39  Fe    0.75     0.28781  0.165236
 40  Fe    0.25098  0.40998  0.608532
 41  Fe    0.24902  0.09002  0.108532
 42  Fe    0.75098  0.09002  0.391468
 43  Fe    0.74902  0.40998  0.891468
 44  Fe    0.24902  0.09002  0.391468
 45  Fe    0.25098  0.40998  0.891468
 46  Fe    0.74902  0.40998  0.608532
 47  Fe    0.75098  0.09002  0.108532
 48  Fe    0.75     0.75     0.5
 49  Fe    0.75     0.75     0
 50  Fe    0.25     0.75     0.5
 51  Fe    0.25     0.75     0
 52  Fe    0.24964  0.53677  0.75
 53  Fe    0.25036  0.96323  0.25
 54  Fe    0.74964  0.96323  0.25
 55  Fe    0.75036  0.53677  0.75
 56  Fe    0.75     0.71219  0.665236
 57  Fe    0.75     0.78781  0.165236
 58  Fe    0.25     0.78781  0.334764
 59  Fe    0.25     0.71219  0.834764
 60  Fe    0.75     0.78781  0.334764
 61  Fe    0.75     0.71219  0.834764
 62  Fe    0.25     0.71219  0.665236
 63  Fe    0.25     0.78781  0.165236
 64  Fe    0.75098  0.90998  0.608532
 65  Fe    0.74902  0.59002  0.108532
 66  Fe    0.25098  0.59002  0.391468
 67  Fe    0.24902  0.90998  0.891468
 68  Fe    0.74902  0.59002  0.391468
 69  Fe    0.75098  0.90998  0.891468
 70  Fe    0.24902  0.90998  0.608532
 71  Fe    0.25098  0.59002  0.108532
 72  F     0.2723   0.49786  0.56854
 73  F     0.2277   0.00214  0.06854
 74  F     0.7723   0.00214  0.43146
 75  F     0.7277   0.49786  0.93146
 76  F     0.2277   0.00214  0.43146
 77  F     0.2723   0.49786  0.93146
 78  F     0.7277   0.49786  0.56854
 79  F     0.7723   0.00214  0.06854
 80  F     0.2315   0.35626  0.53447
 81  F     0.2685   0.14374  0.03447
 82  F     0.7315   0.14374  0.46553
 83  F     0.7685   0.35626  0.96553
 84  F     0.2685   0.14374  0.46553
 85  F     0.2315   0.35626  0.96553
 86  F     0.7685   0.35626  0.53447
 87  F     0.7315   0.14374  0.03447
 88  F     0        0.19798  0.65501
 89  F     0.5      0.30202  0.15501
 90  F     0.5      0.30202  0.34499
 91  F     0        0.19798  0.84499
 92  F     0.5      0.22964  0.67601
 93  F     0        0.27036  0.17601
 94  F     0        0.27036  0.32399
 95  F     0.5      0.22964  0.82399
 96  F     0.2204   0.31869  0.65352
 97  F     0.2796   0.18131  0.15352
 98  F     0.7204   0.18131  0.34648
 99  F     0.7796   0.31869  0.84648
100  F     0.2796   0.18131  0.34648
101  F     0.2204   0.31869  0.84648
102  F     0.7796   0.31869  0.65352
103  F     0.7204   0.18131  0.15352
104  F     0.2141   0.23732  0.75
105  F     0.2859   0.26268  0.25
106  F     0.7141   0.26268  0.25
107  F     0.7859   0.23732  0.75
108  F     0        0.23738  0.50641
109  F     0.5      0.26262  0.00641
110  F     0.5      0.26262  0.49359
111  F     0        0.23738  0.99359
112  F     0.2709   0.45343  0.68902
113  F     0.2291   0.04657  0.18902
114  F     0.7709   0.04657  0.31098
115  F     0.7291   0.45343  0.81098
116  F     0.2291   0.04657  0.31098
117  F     0.2709   0.45343  0.81098
118  F     0.7291   0.45343  0.68902
119  F     0.7709   0.04657  0.18902
120  F     0.2784   0.19458  0.58075
121  F     0.2216   0.30542  0.08075
122  F     0.7784   0.30542  0.41925
123  F     0.7216   0.19458  0.91925
124  F     0.2216   0.30542  0.41925
125  F     0.2784   0.19458  0.91925
126  F     0.7216   0.19458  0.58075
127  F     0.7784   0.30542  0.08075
128  F     0        0.42413  0.61329
129  F     0.5      0.07587  0.11329
130  F     0.5      0.07587  0.38671
131  F     0        0.42413  0.88671
132  F     0        0.0466   0.75
133  F     0.5      0.4534   0.25
134  F     0.2792   0.10945  0.68375
135  F     0.2208   0.39055  0.18375
136  F     0.7792   0.39055  0.31625
137  F     0.7208   0.10945  0.81625
138  F     0.2208   0.39055  0.31625
139  F     0.2792   0.10945  0.81625
140  F     0.7208   0.10945  0.68375
141  F     0.7792   0.39055  0.18375
142  F     0.5      0.0169   0.75
143  F     0        0.4831   0.25
144  F     0.5      0.3932   0.60937
145  F     0        0.1068   0.10937
146  F     0        0.1068   0.39063
147  F     0.5      0.3932   0.89063
148  F     0.7723   0.99786  0.56854
149  F     0.7277   0.50214  0.06854
150  F     0.2723   0.50214  0.43146
