cif name= ./4303319.cif
./4303319.cif
Full Formula (K240 Al80 F480)
Reduced Formula: K3AlF6
abc   :  18.838500  18.838500  33.964400
angles:  90.000000  90.000000  90.000000
Sites (800)
  #  SP         a       b       c
---  ----  ------  ------  ------
  0  K     0       0.5     0.9901
  1  K     0       0       0.7401
  2  K     0.5     0.5     0.7599
  3  K     0.5     0       0.0099
  4  K     0.3917  0.1974  0.6365
  5  K     0.8026  0.8917  0.8865
  6  K     0.6083  0.8026  0.6365
  7  K     0.1974  0.1083  0.8865
  8  K     0.1083  0.8026  0.1135
  9  K     0.6974  0.1083  0.8635
 10  K     0.8917  0.1974  0.1135
 11  K     0.3026  0.8917  0.8635
 12  K     0.1986  0.5763  0.1207
 13  K     0.9237  0.1986  0.8707
 14  K     0.8014  0.4237  0.1207
 15  K     0.0763  0.8014  0.8707
 16  K     0.3014  0.4237  0.6293
 17  K     0.5763  0.8014  0.8793
 18  K     0.6986  0.5763  0.6293
 19  K     0.4237  0.1986  0.8793
 20  K     0.0851  0.8131  0.9997
 21  K     0.6869  0.0851  0.7497
 22  K     0.9149  0.1869  0.9997
 23  K     0.3131  0.9149  0.7497
 24  K     0.4149  0.1869  0.7503
 25  K     0.8131  0.9149  0.0003
 26  K     0.5851  0.8131  0.7503
 27  K     0.1869  0.0851  0.0003
 28  K     0.2035  0.5755  0.0036
 29  K     0.9245  0.2035  0.7536
 30  K     0.7965  0.4245  0.0036
 31  K     0.0755  0.7965  0.7536
 32  K     0.2965  0.4245  0.7464
 33  K     0.5755  0.7965  0.9964
 34  K     0.7035  0.5755  0.7464
 35  K     0.4245  0.2035  0.9964
 36  K     0.5     0       0.6333
 37  K     0       0       0.8833
 38  K     0       0       0.1167
 39  K     0.5     0       0.8667
 40  K     0.8998  0.7061  0.9916
 41  K     0.7939  0.8998  0.7416
 42  K     0.1002  0.2939  0.9916
 43  K     0.2061  0.1002  0.7416
 44  K     0.6002  0.2939  0.7584
 45  K     0.7061  0.1002  0.0084
 46  K     0.3998  0.7061  0.7584
 47  K     0.2939  0.8998  0.0084
 48  K     0.9273  0.3413  0.9472
 49  K     0.1587  0.9273  0.6972
 50  K     0.0727  0.6587  0.9472
 51  K     0.8413  0.0727  0.6972
 52  K     0.5727  0.6587  0.8028
 53  K     0.3413  0.0727  0.0528
 54  K     0.4273  0.3413  0.8028
 55  K     0.6587  0.9273  0.0528
 56  K     0.8647  0.574   0.0584
 57  K     0.926   0.8647  0.8084
 58  K     0.1353  0.426   0.0584
 59  K     0.074   0.1353  0.8084
 60  K     0.6353  0.426   0.6916
 61  K     0.574   0.1353  0.9416
 62  K     0.3647  0.574   0.6916
 63  K     0.426   0.8647  0.9416
 64  K     0.5     0       0.75
 65  K     0       0       0
 66  K     0.1925  0.5835  0.871
 67  K     0.4165  0.6925  0.121
 68  K     0.8075  0.4165  0.871
 69  K     0.5835  0.3075  0.121
 70  K     0.3075  0.4165  0.879
 71  K     0.0835  0.3075  0.629
 72  K     0.6925  0.5835  0.879
 73  K     0.9165  0.6925  0.629
 74  K     0.1664  0.9329  0.9303
 75  K     0.5671  0.1664  0.6803
 76  K     0.8336  0.0671  0.9303
 77  K     0.4329  0.8336  0.6803
 78  K     0.3336  0.0671  0.8197
 79  K     0.9329  0.8336  0.0697
 80  K     0.6664  0.9329  0.8197
 81  K     0.0671  0.1664  0.0697
 82  K     0.7262  0.7598  0.9375
 83  K     0.7402  0.7262  0.6875
 84  K     0.2738  0.2402  0.9375
 85  K     0.2598  0.2738  0.6875
 86  K     0.7738  0.2402  0.8125
 87  K     0.7598  0.2738  0.0625
 88  K     0.2262  0.7598  0.8125
 89  K     0.2402  0.7262  0.0625
 90  K     0.1057  0.297   0.878
 91  K     0.203   0.1057  0.628
 92  K     0.8943  0.703   0.878
 93  K     0.797   0.8943  0.628
 94  K     0.3943  0.703   0.872
 95  K     0.297   0.8943  0.122
 96  K     0.6057  0.297   0.872
 97  K     0.703   0.1057  0.122
 98  K     0.5     0       0.1218
 99  K     0.5     0.5     0.8718
100  K     0       0       0.6282
101  K     0       0.5     0.8782
