file	formula	svnrevision
9005507	- Er0.466 O9 Si Ti2 Y1.534 -	176465
9005512	- Al O8 Si3 Tl -	176465
9005513	- Mg O -	202019
9005514	- Fe0.026 Mg0.974 O -	176465
9005515	- Fe0.042 Mg0.958 O -	176465
9005516	- Fe0.01 Mg0.99 O -	176465
9005517	- Fe1.96 Mg1.04 O4 -	176465
9005518	- O4 Si Zr -	176465
9005532	- K0.45 Na1.55 O5 Si2 -	176465
9005541	- Ca0.15 Mg1.85 O6 Si2 -	201816
9005542	- Ca0.15 Mg1.85 O6 Si2 -	201816
9005543	- Ca0.23 Mg1.77 O6 Si2 -	201816
9005544	- Ca0.23 Mg1.77 O6 Si2 -	201816
9005554	- Al8.88 B5.22 Na0.77 O31 Si3.78 -	176465
9005555	- Al8.88 B4.8 Na0.67 O31 Si4.2 -	176465
9005556	- Al0.608 Ca2.898 Fe1.321 Mg0.072 Mn0.018 O12 Si2.862 Ti0.213 Zr0.006 -	176465
9005557	- Al0.632 Ca2.892 Fe1.311 Mg0.072 Mn0.018 O12 Si2.874 Ti0.192 Zr0.009 -	176465
9005558	- Al0.634 Ca2.895 Fe1.302 Mg0.072 Mn0.018 O12 Si2.877 Ti0.192 Zr0.009 -	176465
9005559	- Al0.301 Ca0.752 K0.23 Mg0.749 O6 Si1.968 -	176465
9005560	- Al0.209 Ca0.896 K0.072 Mg0.887 O6 Si1.936 -	176465
9005564	- O22 Si4 Sr4 Ti5 -	176465
9005588	- Ca0.04 Mg1.96 O6 Si2 -	176465
9005589	- Ca0.07 Mg1.93 O6 Si2 -	176465
9005592	- Al1.976 Cr0.025 Mg0.994 O4 Zn0.004 -	176465
9005593	- Al1.94 Cr0.062 Mg0.99 O4 Zn0.007 -	176465
9005594	- Al1.915 Cr0.087 Mg0.992 O4 Zn0.006 -	176465
9005595	- Al1.88 Cr0.12 Mg0.993 O4 Zn0.005 -	176465
9005596	- Al1.868 Cr0.133 Mg0.99 O4 Zn0.008 -	176465
9005597	- Al1.835 Cr0.166 Mg0.991 O4 Zn0.009 -	176465
9005598	- Al1.773 Cr0.232 Mg0.988 O4 Zn0.006 -	176465
9005612	- Al1.737 Cr0.205 Fe0.239 Mg0.806 Mn0.002 Ni0.008 O4 Ti0.001 V0.002 -	176465
9005613	- Al1.711 Cr0.216 Fe0.263 Mg0.794 Mn0.002 Ni0.008 O4 Ti0.001 V0.002 Zn0.003 -	176465
9005614	- Al1.659 Cr0.232 Fe0.296 Mg0.797 Mn0.003 Ni0.008 O4 Si0.001 Ti0.003 V0.002 Zn0.003 -	176465
9005615	- Al1.632 Cr0.243 Fe0.361 Mg0.744 Mn0.004 Ni0.009 O4 Si0.001 Ti0.001 V0.001 Zn0.004 -	176465
9005616	- Al1.531 Cr0.41 Fe0.254 Mg0.789 Mn0.003 Ni0.007 O4 Si0.001 Ti0.002 V0.001 Zn0.002 -	176465
9005617	- Al1.335 Cr0.546 Fe0.391 Mg0.708 Mn0.005 Ni0.005 O4 Si0.001 Ti0.006 V0.003 -	176465
9005618	- Al1.152 Cr0.694 Fe0.45 Mg0.68 Mn0.005 Ni0.005 O4 Si0.001 Ti0.009 V0.004 -	176465
9005619	- Al1.141 Cr0.783 Fe0.304 Mg0.756 Mn0.004 Ni0.005 O4 Si0.002 Ti0.005 -	176465
9005620	- Al1.129 Cr0.799 Fe0.307 Mg0.736 Mn0.004 Ni0.005 O4 Si0.002 Ti0.005 Zn0.003 -	176465
9005621	- Al1.127 Cr0.811 Fe0.307 Mg0.741 Mn0.004 Ni0.004 O4 Si0.001 Ti0.005 -	176465
9005622	- Na3 O18 Si4 Sr2 Ti3 -	176465
9005625	- Ho0.275 La1.725 O7 Si2 -	176465
9005628	- Al0.033 Ca0.192 Fe0.854 Mg0.911 Mn0.027 Na0.003 O6 Si1.97 Ti0.01 -	176465
9005629	- Ca0.15 Mg1.85 O6 Si2 -	176465
9005640	- Al1.3 B2 Fe0.7 Mg3.7 O10 Sn0.3 -	176465
9005642	- Ce0.12 Fe8 Mn0.34 O38 Pb0.6 Sr0.3 Ti12 U0.06 Y0.48 -	176465
9005675	- Fe2.44 K0.05 Mg2.56 O30 Si12 -	176465
9005676	- Fe2.47 K0.12 Mg2.53 O30 Si12 -	176465
9005677	- B0.018 Ca0.916 Mg0.926 Na0.066 O6 Si1.96 Ti0.086 -	176465
9005678	- B0.022 Ca0.82 Mg0.846 Na0.168 O6 Si1.882 Ti0.272 -	176465
9005679	- B0.028 Ca0.872 Mg0.906 Na0.118 O6 Si1.94 Ti0.138 -	176465
9005680	- B0.044 Ca0.784 Mg0.85 Na0.19 O6 Si1.892 Ti0.254 -	176465
9005681	- B0.024 Ca0.836 Mg0.892 Na0.14 O6 Si1.888 Ti0.206 -	176465
9005682	- B0.024 Ca0.844 Mg0.922 Na0.128 O6 Si1.888 Ti0.188 -	176465
9005699	- Ca1.59 Mn0.167 O2.187 -	176465
9005702	- Ca0.5 Cr0.5 Mg0.5 Na0.5 O6 Si2 -	176465
9005703	- Ca0.5 Cr0.5 Mg0.5 Na0.5 O6 Si2 -	176465
9005716	- Al2 Cu O4 -	176465
9005717	- Al2 Cu O4 -	176465
9005718	- Al2 Cu O4 -	176465
9005729	- Al1.336 Ba0.035 Cr0.003 Fe0.606 K0.964 Mg2.226 Mn0.009 O12 Si2.7 Ti0.123 -	176465
9005730	- Al1.403 Ba0.008 Fe0.573 K0.988 Mg1.827 Mn0.006 O12 Si2.912 Ti0.165 -	176465
9005731	- Al1.596 Ba0.081 Fe0.3 K0.931 Mg2.43 Mn0.009 O12 Si2.62 Ti0.045 -	176465
9005732	- Al1.616 Ba0.099 Ca0.002 Cr0.003 Fe0.219 K0.938 Mg2.409 Mn0.006 O12 Si2.708 Ti0.012 -	176465
9005733	- Al1.452 Ba0.005 Fe0.597 K0.994 Mg1.848 O12 Si2.896 Ti0.144 -	176465
9005734	- Al1.287 Ba0.023 Fe0.513 K0.985 Mg2.331 Mn0.003 O12 Si2.728 Ti0.138 -	176465
9005735	- Al1.337 Ba0.017 Ca0.001 Fe0.471 K0.984 Mg2.334 Mn0.003 O12 Si2.72 Ti0.135 -	176465
9005736	- Al1.364 Ba0.023 Cr0.003 Fe1.287 K0.976 Mg1.08 Mn0.009 O12 Si2.84 Ti0.381 -	176465
9005738	- Fe3.5 O5 Si0.5 -	176465
9005757	- Mg O3 Si -	176465
9005767	- Al2 Mg O4 -	176465
9005768	- Al2.401 Mg0.398 O4 -	176465
9005769	- Cu2 O -	202019
9005775	- Mg O3 Si -	176465
9005776	- Mg O3 Si -	176465
9005777	- Ca O3 Si -	176465
9005778	- Ca O3 Si -	176465
9005783	- Al4 Ar0.72 Fe0.09 Mg1.91 Mn0.01 Na0.05 O18 Si5 -	176465
9005786	- Al4 Mg2 Na0.05 O18.7 Si5 -	176465
9005787	- Al1.28 Ca2.43 Mn1.29 O12 Si3 -	176465
9005789	- Be2 O4 Si -	176465
9005796	- O2 Si -	202019
9005801	- Al4 Mg2 O18 Si5 -	176465
9005807	- Al2 Mg O4 -	176465
9005812	- Fe3 O4 -	202019
9005817	- Ni2 O4 Si -	176465
9005822	- Fe2 O4 Si -	176465
9005827	- Ni2 O4 Si -	201816
9005828	- Ni2 O4 Si -	176465
9005829	- Ni2 O4 Si -	176465
9005830	- Ni2 O4 Si -	201816
9005831	- Ni2 O4 Si -	176465
9005832	- Ni2 O4 Si -	176465
9005836	- Fe3 O4 -	202019
9005843	- Al0.03 Ca0.34 Fe0.52 Mg0.36 Mn0.09 Na0.66 O6 Si1.99 Ti0.01 -	176465
9005846	- Al2 Be O4 -	85285
9005852	- O2 Si -	202019
9005853	- O2 Si -	202019
9005854	- O2 Si -	202019
9005855	- O2 Si -	202019
9005856	- Fe0.19 Mg1.81 O4 Si -	176465
9005857	- Be2 O4 Si -	176465
9005861	- Al2 Be O4 -	120115
9005866	- Mn O3 Ti -	176465
9005869	- Mg O3 Si -	176465
9005870	- Mg O3 Si -	176465
9005881	- Cd Ge O3 -	85285
9005883	- Al O3 Sc -	176465
9005887	- Co3 O4 -	202019
9005896	- Co3 O4 -	202019
9005901	- Mg O3 Si -	176465
9005902	- Mg O3 Si -	176465
9005907	- Fe0.2 Mg1.8 O4 Si -	176465
9005908	- Ca0.006 Fe0.825 Mg1.139 Mn0.03 O4 Si -	176465
9005909	- Ca0.006 Fe0.825 Mg1.139 Mn0.03 O4 Si -	176465
9005910	- Ca0.006 Fe0.825 Mg1.139 Mn0.03 O4 Si -	176465
9005911	- Ca0.005 Fe0.399 Mg1.583 Mn0.012 O4 Si -	176465
9005912	- Ca0.005 Fe0.399 Mg1.583 Mn0.012 O4 Si -	176465
9005913	- Ca0.005 Fe0.399 Mg1.584 Mn0.012 O4 Si -	176465
9005914	- Ca0.005 Fe0.399 Mg1.583 Mn0.012 O4 Si -	176465
9005915	- Fe0.199 Mg1.793 Mn0.003 Ni0.005 O4 Si -	176465
9005916	- Fe0.2 Mg1.792 Mn0.003 Ni0.005 O4 Si -	176465
9005917	- Fe0.199 Mg1.793 Mn0.003 Ni0.005 O4 Si -	176465
9005918	- Fe0.2 Mg1.792 Mn0.003 Ni0.005 O4 Si -	176465
9005919	- Ca0.007 Fe0.164 Mg1.817 Mn0.003 Ni0.01 O4 Si -	176465
9005920	- Ca0.007 Fe0.164 Mg1.817 Mn0.003 Ni0.01 O4 Si -	176465
9005921	- Ca O5 Si Ti -	176465
9005922	- Ca O5 Si Ti -	176465
9005946	- Mn O -	202019
9005947	- Mn O -	202019
9005950	- Fe2 K Li Na2 O24 Si8 Ti2 -	176465
9005952	- Al2 Ni O4 -	201816
9005953	- Al2 Ni O4 -	201816
9005954	- Al2 Ni O4 -	201816
9005955	- Al2 Ni O4 -	201816
9005956	- Al2 Ni O4 -	201816
9005957	- Al2 Ni O4 -	201816
9005958	- Al2 Ni O4 -	201816
9005959	- Al2 Ni O4 -	201816
9005960	- Al2 Ni O4 -	201816
9005961	- Al2 Ni O4 -	201816
9005962	- Al2 Ni O4 -	201816
9005963	- Al2 Ni O4 -	201816
9005964	- Al2 Ni O4 -	201816
9005965	- Al2 Ni O4 -	201816
9005966	- Al2 Ni O4 -	201816
9005967	- Al2 Ni O4 -	201816
9005968	- Al2 Ni O4 -	201816
9005969	- Al2 Ni O4 -	201816
9005970	- Al2 Ni O4 -	201816
9005971	- Al2 Ni O4 -	201816
9005972	- Al2 Ni O4 -	201816
9005973	- Al2 Ni O4 -	201816
9005974	- Al2 Ni O4 -	201816
9005975	- Al2 Ni O4 -	201816
9005976	- Al2 Ni O4 -	201816
9005977	- Al2 Ni O4 -	201816
9005978	- Al2 Ni O4 -	201816
9005979	- Al2 Ni O4 -	201816
9005980	- Al2 Ni O4 -	201816
9005981	- Al2 Ni O4 -	201816
9005982	- Al2 Ni O4 -	201816
9005983	- Al2 Ni O4 -	201816
9005984	- Al2 Ni O4 -	201816
9005985	- Al2 Ni O4 -	201816
9005986	- Al2 Ni O4 -	201816
9005987	- Al2 Ni0.982 O4 -	176465
9005988	- Al2 Ni O4 -	201816
9005989	- Al2 Ni O4 -	201816
9005990	- Al2 Ni O4 -	201816
9005991	- Al2 Ni O4 -	201816
9005992	- Al2 Ni O4 -	201816
9005993	- Al2 Ni O4 -	201816
9005994	- Al2 Ni O4 -	201816
9005995	- Al2 Ni O4 -	201816
9005996	- Al2 Ni O4 -	201816
9005997	- Al2 Ni O4 -	201816
9005998	- Al2 Ni O4 -	201816
9005999	- Al2 Ni O4 -	201816
9006000	- Al2 Ni O4 -	201816
9006001	- Al2 Ni O4 -	201816
9006002	- Al2 Ni O4 -	201816
9006003	- Al2 Ni O4 -	201816
9006004	- Al2 Ni O4 -	201816
9006005	- Al2 Ni O4 -	201816
9006006	- Al2 Ni O4 -	201816
9006007	- Al2 Ni O4 -	201816
9006008	- Al2 Ni O4 -	201816
9006009	- Al2 Ni O4 -	201816
9006010	- Al2 Ni O4 -	201816
9006011	- Al2 Ni O4 -	201816
9006012	- Al2 Ni O4 -	201816
9006013	- Al2 Ni O4 -	201816
9006014	- Al2 Ni O4 -	201816
9006015	- Al2 Ni O4 -	201816
9006016	- Al2 Ni O4 -	201816
9006017	- Al2 Ni O4 -	176465
9006018	- Al2 Ni O4 -	201816
9006019	- Al2 Ni O4 -	201816
9006020	- Al2 Ni O4 -	201816
9006021	- Al2 Ni O4 -	201816
9006022	- Al2 Ni O4 -	176465
9006023	- Al2 Ni O4 -	176465
9006024	- Al2 Ni O4 -	201816
9006025	- Al2 Ni O4 -	201816
9006026	- Al2 Ni O4 -	176465
9006027	- Al2 Ni O4 -	176465
9006028	- Al2 Ni O4 -	201816
9006029	- Al2 Ni O4 -	176465
9006030	- Al2 Ni O4 -	176465
9006031	- Al2 Ni O4 -	176465
9006032	- Al2 Ni O4 -	176465
9006033	- Al1.931 Ni O4 -	176465
9006034	- Al2 Ni O4 -	201816
9006035	- Al2 Ni O4 -	176465
9006036	- Al2 Ni O4 -	176465
9006037	- Al2 Ni O4 -	201816
9006038	- Al2 Ni O4 -	176465
9006039	- Al2 Ni O4 -	176465
9006040	- Al2 Ni O4 -	201816
9006041	- Al2 Ni O4 -	201816
9006108	- Al2 Fe3 O12 Si3 -	201816
9006109	- Al2 Fe3 O12 Si3 -	201816
9006112	- Al2.06 Ca2 O7 Si0.95 -	176465
9006113	- Al1.54 Ca2 Mg0.21 O7 Si1.24 -	176465
9006114	- Al0.99 Ca2 Mg0.46 O7 Si1.52 -	176465
9006115	- Al0.51 Ca2 Mg0.71 O7 Si1.74 -	176465
9006116	- Ca2 Mg0.96 O7 Si2 -	176465
9006144	- Al0.288 Ca0.654 Cr0.041 Fe0.126 Mg0.957 Mn0.004 Na0.078 O6 Si1.863 Ti0.01 -	176465
9006145	- Al0.255 Ca0.645 Cr0.044 Fe0.128 Mg0.957 Mn0.002 Na0.094 O6 Si1.883 Ti0.008 -	176465
9006146	- Al0.207 Ca0.694 Cr0.046 Fe0.123 Mg0.997 Mn0.003 Na0.052 O6 Si1.892 Ti0.002 -	176465
9006147	- Al0.187 Ca0.712 Cr0.046 Fe0.11 Mg1.007 Mn0.003 Na0.048 O6 Si1.902 Ti0.003 -	176465
9006148	- Al0.189 Ca0.72 Cr0.04 Fe0.111 Mg1.03 Mn0.003 Na0.027 O6 Si1.891 Ti0.003 -	176465
9006149	- Al0.109 Ca0.737 Cr0.04 Fe0.116 Mg1.052 Mn0.003 Na0.022 O6 Si1.934 Ti0.001 -	176465
9006152	- Mg2 O4 Si -	176465
9006153	- Fe0.16 Mg1.85 O4 Si -	176465
9006154	- Fe0.32 Mg1.68 O4 Si -	176465
9006155	- Fe0.5 Mg1.5 O4 Si -	176465
9006156	- Fe0.799 Mg1.201 O4 Si -	176465
9006172	- Ca O3 Ti -	176465
9006180	- Cr2 Mg O4 -	201816
9006181	- Cr2 Mg O4 -	201816
9006182	- Cr2 Mg O4 -	201816
9006183	- Cr2 O4 Zn -	201816
9006184	- Fe3 O4 -	202019
9006185	- Cr2 Mg O4 -	201816
9006186	- Cr2 Mg O4 -	201816
9006187	- Cr2 Mg O4 -	201816
9006188	- Cr2 O4 Zn -	201816
9006189	- Fe3 O4 -	202019
9006190	- Cr2 Mg O4 -	201816
9006191	- Cr2 Mg O4 -	201816
9006192	- Cr2 Mg O4 -	201816
9006193	- Cr2 O4 Zn -	201816
9006194	- Fe3 O4 -	202019
9006195	- Cr2 Mg O4 -	201816
9006196	- Cr2 Mg O4 -	201816
9006197	- Cr2 Mg O4 -	201816
9006198	- Cr2 O4 Zn -	201816
9006199	- Fe3 O4 -	202019
9006200	- Al2 O4 Zn -	201816
9006201	- Al2 O4 Zn -	201816
9006202	- Al2 O4 Zn -	201816
9006203	- Al2 O4 Zn -	201816
9006204	- Al2 O4 Zn -	201816
9006205	- Al2 O4 Zn -	201816
9006206	- Al2 O4 Zn -	201816
9006207	- Al2 O4 Zn -	201816
9006208	- Al2 O4 Zn -	201816
9006209	- Al2 O4 Zn -	201816
9006210	- Al2 O4 Zn -	201816
9006211	- Al2 O4 Zn -	201816
9006212	- Al2 O4 Zn -	201816
9006213	- Al2 O4 Zn -	201816
9006214	- Al2 O4 Zn -	201816
9006215	- Al2 O4 Zn -	201816
9006216	- Al2 O4 Zn -	201816
9006217	- Cr2 Mg O4 -	201816
9006218	- Cr2 Mg O4 -	201816
9006219	- Cr2 Mg O4 -	201816
9006220	- Cr2 O4 Zn -	201816
9006221	- Al2 O4 Zn -	201816
9006222	- Al2 O4 Zn -	201816
9006223	- Al2 O4 Zn -	201816
9006224	- Al2 O4 Zn -	201816
9006225	- Al2 O4 Zn -	201816
9006226	- Al2 O4 Zn -	201816
9006227	- Al2 O4 Zn -	201816
9006228	- Al2 O4 Zn -	201816
9006229	- Al2 O4 Zn -	201816
9006230	- Al2 O4 Zn -	201816
9006231	- Cr2 Mg O4 -	201816
9006232	- Cr2 Mg O4 -	201816
9006233	- Cr2 Mg O4 -	201816
9006234	- Cr2 O4 Zn -	201816
9006235	- Cr2 Mg O4 -	201816
9006236	- Cr2 Mg O4 -	201816
9006237	- Cr2 Mg O4 -	201816
9006238	- Cr2 Mg O4 -	201816
9006239	- Cr2 Mg O4 -	201816
9006240	- Cr2 Mg O4 -	201816
9006241	- Cr2 O4 Zn -	201816
9006242	- Fe3 O4 -	202019
9006243	- Cr2 Mg O4 -	201816
9006244	- Cr2 Mg O4 -	201816
9006245	- Cr2 Mg O4 -	201816
9006246	- Cr2 O4 Zn -	201816
9006247	- Fe3 O4 -	202019
9006248	- Cr2 Mg O4 -	201816
9006249	- Cr2 Mg O4 -	201816
9006250	- Cr2 Mg O4 -	201816
9006251	- Cr2 O4 Zn -	201816
9006252	- Fe3 O4 -	202019
9006253	- Al2 O4 Zn -	201816
9006254	- Al2 O4 Zn -	201816
9006255	- Al2 O4 Zn -	201816
9006256	- Al2 O4 Zn -	201816
9006257	- Al2 O4 Zn -	201816
9006258	- Al2 O4 Zn -	201816
9006259	- Al2 O4 Zn -	201816
9006260	- Al2 O4 Zn -	201816
9006261	- Al2 O4 Zn -	201816
9006262	- Al2 O4 Zn -	201816
9006263	- Cr2 Mg O4 -	201816
9006264	- Cr2 O4 Zn -	201816
9006265	- Fe3 O4 -	202019
9006266	- Al2 O4 Zn -	201816
9006267	- Al2 O4 Zn -	201816
9006268	- Al2 O4 Zn -	201816
9006269	- Al2 O4 Zn -	176465
9006270	- Al2 O4 Zn -	201816
9006271	- Al4 Mg2 O18 Si5 -	176465
9006272	- Al4 Mg2 O18 Si5 -	176465
9006276	- Cr2 O4 Si -	176465
9006277	- Al1.7 Fe3.3 O12 Si3 -	176465
9006278	- Al0.2 Fe4.8 O12 Si3 -	176465
9006279	- Ca0.33 Fe4.67 O12 Si3 -	176465
9006280	- Ca0.63 Fe4.37 O12 Si3 -	176465
9006281	- Ca1.92 Fe3.08 O12 Si3 -	176465
9006282	- Ca1.56 Fe3.44 O12 Si3 -	176465
9006283	- Ca1.08 Fe3.92 O12 Si3 -	176465
9006284	- O2 Si -	176465
9006285	- O2 Si -	176465
9006286	- O2 Si -	176465
9006287	- O2 Si -	201816
9006288	- O2 Si -	201816
9006289	- O2 Si -	176465
9006290	- O2 Si -	176465
9006291	- O2 Si -	176465
9006292	- O2 Si -	176465
9006293	- O2 Si -	176465
9006294	- O2 Si -	176465
9006295	- O2 Si -	176465
9006296	- O2 Si -	176465
9006297	- O2 Si -	176465
9006298	- O2 Si -	176465
9006299	- O2 Si -	176465
9006300	- O2 Si -	176465
9006301	- O2 Si -	176465
9006302	- O2 Si -	176465
9006303	- O2 Si -	176465
9006304	- O2 Si -	176465
9006305	- O2 Si -	176465
9006306	- O2 Si -	176465
9006307	- O2 Si -	176465
9006308	- Al2 Fe0.2 O4 Zn0.8 -	201816
9006309	- Al2 Fe0.4 O4 Zn0.6 -	201816
9006310	- Al2 Fe0.6 O4 Zn0.4 -	176465
9006311	- Al2 Fe O4 -	201816
9006312	- Al2 Fe0.2 O4 Zn0.8 -	201816
9006313	- Al2 Fe0.4 O4 Zn0.6 -	201816
9006314	- Al2 Fe0.6 O4 Zn0.4 -	176465
9006315	- Al2 Fe O4 -	201816
9006316	- Fe2 O3 -	202019
9006317	- Fe2 O3 -	202019
9006318	- Fe3 O4 -	202019
9006319	- Al1.99 Ca0.24 Cr0.01 Fe1.59 Mg1.119 Mn0.039 O12 Si3 Ti0.01 -	176465
9006320	- Al2 Ca0.51 Fe1.431 Mg1.02 Mn0.039 O12 Si3 -	176465
9006321	- Al1.99 Ca0.51 Fe1.56 Mg0.921 Mn0.039 O12 Si3 Ti0.01 -	176465
9006322	- Al1.99 Ca1.389 Fe0.469 Mg1.14 Mn0.009 O12 Si3 -	176465
9006323	- Al1.87 Ca2.139 Fe0.849 Mg0.09 Mn0.039 O12 Si3 Ti0.01 -	176465
9006324	- Al Ca2.889 Fe0.949 Mn0.039 O12 Si3 Ti0.12 -	176465
9006325	- Al1.81 Ca2.901 Fe0.22 Mg0.06 Mn0.009 O12 Si3 Ti0.01 -	176465
9006334	- Ca Fe3 O12 Ti4 -	176465
9006335	- Fe O3 Ti -	176465
9006336	- Mg0.78 O3 Si1.06 -	176465
9006337	- Mg O3 Si -	176465
9006345	- Na2 O7 Si3 -	176465
9006346	- Al K O8 Si3 -	176465
9006347	- Al K O8 Si3 -	176465
9006348	- Al K O8 Si3 -	176465
9006390	- Co2 O4 Si -	176465
9006391	- Co1.75 Mg0.25 O4 Si -	176465
9006392	- Co1.5 Mg0.5 O4 Si -	176465
9006393	- Co1.249 Mg0.749 O4 Si -	176465
9006394	- Co Mg O4 Si -	176465
9006395	- Co0.75 Mg1.25 O4 Si -	176465
9006396	- Co0.499 Mg1.499 O4 Si -	176465
9006397	- Co0.249 Mg1.749 O4 Si -	176465
9006398	- Mg2 O4 Si -	176465
9006399	- Co Mg O4 Si -	176465
9006401	- Co Mg O4 Si -	176465
9006402	- Co Mg O4 Si -	176465
9006403	- Co Mg O4 Si -	176465
9006422	- Fe O3 Si -	176465
9006427	- Fe0.41 Mg0.59 O3 Si -	176465
9006436	- Al0.14 Ca0.012 Fe0.24 Mg1.66 O6 Si1.94 -	176465
9006447	- Cu0.564 Mg1.436 O6 Si2 -	176465
9006448	- Ca2 Mg O7 Si2 -	176465
9006455	- Ca2 O6 Si Ti -	176465
9006456	- Mg O -	202019
9006525	- Al2 O5 Si -	176465
9006530	- D2 Mn O2 -	176465
9006535	- Co D2 O2 -	176465
9006541	- Mn7 O12 Si -	176465
9006542	- Mn7 O12 Si -	176465
9006555	- Fe0.39 Mg0.61 O3 Si -	176465
9006556	- Al2 Mg3 O12 Si3 -	176465
9006563	- Al1.388 Ca0.742 Fe0.162 Mg0.016 O6 Si1.5 -	176465
9006567	- Cd K2 O4 Si -	176465
9006568	- Ca O5 Si2 -	176465
9006569	- Al1.839 Cr0.078 Fe0.283 Mg0.777 Ni0.014 O4 Si0.003 Zn0.007 -	176465
9006570	- Al1.835 Cr0.078 Fe0.29 Mg0.774 Ni0.014 O4 Si0.002 Zn0.007 -	176465
9006571	- Al1.839 Cr0.078 Fe0.283 Mg0.777 Ni0.014 O4 Si0.003 Zn0.007 -	176465
9006572	- Al1.835 Cr0.079 Fe0.221 Mg0.775 Ni0.014 O4 Zn0.007 -	176465
9006573	- Al1.84 Cr0.078 Fe0.213 Mg0.776 Ni0.014 O4 Si0.003 Zn0.007 -	176465
9006574	- Al1.838 Cr0.078 Fe0.216 Mg0.776 Ni0.014 O4 Si0.002 Zn0.007 -	176465
9006576	- Al1.808 Cr0.127 Fe0.225 Mg0.825 Ni0.008 O4 Si0.001 Ti0.004 Zn0.002 -	176465
9006577	- Al1.802 Cr0.125 Fe0.219 Mg0.808 Ni0.008 O4 Si0.001 Ti0.004 Zn0.002 -	176465
9006578	- Al1.775 Cr0.125 Fe0.218 Mg0.808 Ni0.008 O4 Si0.002 Ti0.004 Zn0.002 -	176465
9006579	- Al1.771 Cr0.125 Fe0.222 Mg0.808 Ni0.009 O4 Si0.001 Ti0.004 Zn0.002 -	176465
9006580	- Al O3 Sc -	176465
9006585	- Mn5 O12 Si3 -	176465
9006627	- Al1.971 Fe0.23 Mg0.7 O4 -	176465
9006636	- Mg1.82 O4 Si -	176465
9006637	- Mg1.72 O4 Si -	176465
9006638	- La0.34 Na0.45 O3 Th0.13 Ti -	176465
9006639	- O6 Th Ti2 -	176465
9006640	- Cr2 O4 Si -	176465
9006641	- Cr2 O4 Si -	176465
9006647	- Al4 Co2 O18 Si5 -	176465
9006648	- Al4 Mn2 O18 Si5 -	176465
9006651	- Ca O5 Si Sn -	176465
9006658	- Mn O -	202019
9006659	- Mn O -	202019
9006671	- Cd O -	202019
9006672	- Cd O -	202019
9006684	- Cd O -	202019
9006685	- Cd O -	202019
9006693	- Al4 Ca O11 Si2 -	176465
9006694	- Ca O -	202019
9006712	- Ca O -	202019
9006731	- Ca O -	202019
9006747	- Mg O -	202019
9006768	- Mg O -	202019
9006783	- Cr2 Mg O4 -	176465
9006784	- Mg O -	202019
9006785	- Mg O -	202019
9006795	- Mg O -	202019
9006796	- Mg O -	202019
9006806	- Mg O -	202019
9006807	- Mg O -	202019
9006817	- Ga2 Mg O4 -	176465
9006818	- Ga1.8 Ge0.1 Mg1.1 O4 -	176465
9006819	- Ga1.6 Ge0.2 Mg1.2 O4 -	176465
9006820	- Ga1.5 Ge0.25 Mg1.25 O4 -	176465
9006821	- Ga Ge0.5 Mg1.5 O4 -	176465
9006824	- Co0.754 Ni0.792 O4 Si Zn0.454 -	176465
9006829	- Al3 Na O11 Si3 -	176465
9006849	- Ge O2 -	202019
9006863	- La0.25 Na0.25 O3 Sr0.5 Ti -	176465
9006864	- O3 Sr Ti -	176465
9006865	- La0.05 Na0.05 O3 Sr0.9 Ti -	176465
9006866	- La0.1 Na0.1 O3 Sr0.8 Ti -	176465
9006867	- La0.15 Na0.15 O3 Sr0.7 Ti -	176465
9006868	- La0.2 Na0.2 O3 Sr0.6 Ti -	176465
9006869	- La0.25 Na0.25 O3 Sr0.5 Ti -	176465
9006870	- La0.3 Na0.3 O3 Sr0.4 Ti -	176465
9006871	- La0.35 Na0.35 O3 Sr0.3 Ti -	176465
9006872	- La0.4 Na0.4 O3 Sr0.2 Ti -	176465
9006873	- La0.45 Na0.45 O3 Sr0.1 Ti -	176465
9006874	- La0.5 Na0.5 O3 Ti -	176465
9006893	- Fe2 O4 Zn -	176465
9006910	- Al Li O6 Si2 -	176465
9006914	- Li O6 Sc Si2 -	176465
9006920	- Fe3 O4 -	202019
9006921	- Fe2.91 O4 Si0.09 -	176465
9006922	- Fe2.719 O4 Si0.289 -	176465
9006923	- Fe2.25 O4 Si0.75 -	176465
9006924	- Fe2.08 O4 Si0.92 -	176465
9006925	- Fe2 O4 Si -	176465
9006926	- Ca2 Co O7 Si2 -	176465
9006935	- Ca2 Mg O7 Si2 -	176465
9006936	- Ca2 Mg O7 Si2 -	176465
9006937	- Ca2 Mg O7 Si2 -	176465
9006938	- Ca2 Mg O7 Si2 -	176465
9006942	- Ca2 Fe0.45 Mg0.55 O7 Si2 -	176465
9006971	- Fe Li O6 Si2 -	176465
9007016	- Mg O3 Si -	176465
9007017	- Al2 O4 Zn -	176465
9007052	- Ca0.107 Fe0.416 Mg0.463 Mn0.014 O3 Si -	176465
9007058	- Mg O -	202019
9007059	- Fe0.037 Mg0.963 O -	176465
9007072	- Na2 O5 Si2 -	176465
9007073	- Al0.28 Ca2.912 Ce0.003 Fe1.336 Mg0.146 Mn0.019 Na0.025 Nd0.003 O12 Si2.337 Ti0.889 Y0.007 Zr0.039 -	176465
